GCM-RCM;ZH;delta%;ref;fut;surface
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;M1;11.5;177.301;197.602;8294
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;M0;11.7;210.023;234.671;7963
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;M3;11.6;232.403;259.452;5838
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;M2;12.4;185.921;208.97;21
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;U4;22.1;202.138;246.895;4014
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;U1;19.5;248.498;296.985;5793
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;U0;21;266.548;322.45;6186
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;U3;21.8;226.32;275.589;5720
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;U2;17.8;328.412;386.805;7728
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L4;11.7;230.9;258.011;3885
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L3;14.8;175.296;201.222;818
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L6;12.5;189.279;212.88;1772
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L5;12.4;234.942;264.072;3913
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L8;14.8;194.947;223.892;3667
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L7;14;173.177;197.469;1312
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;D0;16.3;225.79;262.689;1133
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L9;14.4;179.244;204.968;1484
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L0;13;298.145;336.765;4402
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L2;15.9;212.089;245.723;3218
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L1;13.9;217.905;248.13;1841
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;K3;12;185.249;207.433;5605
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;K2;7.1;194.868;208.654;8745
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;K5;12.6;191.199;215.364;6822
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;K4;11.6;184.415;205.885;10008
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;K7;11.2;192.875;214.507;3446
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;K6;11.1;190.742;211.877;7121
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;O1;0;260.873;260.857;4132
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;O0;3.6;299.341;310.077;5818
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;O3;7.3;252.84;271.322;5301
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;O2;5.8;174.57;184.718;5193
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;O5;2.4;227.14;232.627;5961
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;O4;1.7;259.925;264.377;4491
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;F6;14.2;188.486;215.294;7321
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;W1;10.4;332.187;366.8;3064
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;F5;13.5;270.101;306.562;5515
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;W0;2.2;392.474;401.228;2711
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;W3;24.6;241.871;301.391;2497
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;W2;12.9;314.187;354.73;3619
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;F7;12.1;162.139;181.756;1105
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;N6;15.7;230.865;267.029;771
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;N5;15.3;252.949;291.709;404
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;N8;16.4;226.015;262.985;1301
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;N7;14.6;253.401;290.293;590
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;F0;12.5;213.225;239.797;3972
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;F2;8.9;181.442;197.59;1712
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;F1;12.3;208.167;233.811;4595
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;F4;10;174.01;191.386;9621
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;F3;11.8;220.234;246.134;10836
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;N0;12.5;229.8;258.522;1075
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;N2;15.1;238.065;274.088;619
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;N1;13.8;239.955;273.159;753
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;N4;16.2;245.824;285.615;1216
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;N3;15.3;250.068;288.351;1973
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;V6;39.8;162.321;226.9;2137
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;V5;33.5;224.972;300.447;5731
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;V7;32.5;198.838;263.397;3702
