GCM-RCM;ZH;delta%;ref;fut;surface
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;M1;17.3;177.301;207.913;8294
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;M0;23.6;210.023;259.519;7963
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;M3;21.5;232.403;282.406;5838
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;M2;18.4;185.921;220.055;21
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;U4;28.1;202.138;258.885;4014
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;U1;27.6;248.498;316.984;5793
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;U0;28.8;266.548;343.362;6186
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;U3;26.5;226.32;286.269;5720
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;U2;22.1;328.412;401.088;7728
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L4;16.2;230.9;268.407;3885
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L3;18.1;175.296;207.104;818
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L6;17;189.279;221.422;1772
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L5;16.8;234.942;274.523;3913
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L8;18.8;194.947;231.503;3667
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L7;17.1;173.177;202.733;1312
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;D0;30.1;225.79;293.711;1133
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L9;19;179.244;213.316;1484
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L0;18.1;298.145;352.218;4402
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L2;20;212.089;254.526;3218
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;L1;18.1;217.905;257.247;1841
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;K3;22.9;185.249;227.762;5605
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;K2;17.9;194.868;229.684;8745
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;K5;20.5;191.199;230.403;6822
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;K4;18.5;184.415;218.48;10008
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;K7;16.2;192.875;224.071;3446
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;K6;17.5;190.742;224.11;7121
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;O1;4.1;260.873;271.695;4132
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;O0;3.7;299.341;310.356;5818
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;O3;4.1;252.84;263.23;5301
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;O2;8.6;174.57;189.655;5193
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;O5;5.3;227.14;239.091;5961
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;O4;1.8;259.925;264.635;4491
