GCM-RCM;ZH;deltaDegre;ref;fut;surface
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M1;1.53;4.469;5.999;8294
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M0;1.497;4.69;6.187;7963
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M3;1.428;4.918;6.346;5838
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M2;1.463;5.744;7.207;21
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U4;1.829;3.108;4.938;4014
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U1;1.772;2.482;4.254;5793
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U0;1.803;2.249;4.052;6186
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U3;1.722;3.028;4.75;5720
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U2;1.893;1.533;3.426;7728
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L4;1.623;4.081;5.704;3885
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L3;1.556;5.129;6.685;818
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L6;1.529;4.94;6.469;1772
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L5;1.596;4.671;6.268;3913
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L8;1.52;5.216;6.735;3667
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L7;1.514;5.153;6.667;1312
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;D0;1.613;3.16;4.773;1133
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L9;1.493;5.37;6.863;1484
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L0;1.676;4.052;5.728;4402
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L2;1.592;4.989;6.581;3218
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L1;1.589;5.006;6.595;1841
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K3;1.735;3.101;4.836;5605
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K2;2.029;1.601;3.63;8745
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K5;1.609;3.779;5.388;6822
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K4;1.589;4.206;5.795;10008
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K7;1.527;4.65;6.177;3446
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K6;1.564;4.32;5.884;7121
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O1;1.768;3.77;5.537;4132
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O0;1.769;2.772;4.542;5818
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O3;1.761;3.296;5.057;5301
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O2;1.768;5.663;7.431;5193
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O5;1.739;4.381;6.12;5961
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O4;1.723;4.753;6.476;4491
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F6;1.617;3.648;5.265;7321
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;W1;1.86;-2.332;-0.472;3064
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F5;1.676;2.677;4.353;5515
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;W0;1.841;-2.956;-1.115;2711
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;W3;1.959;1.936;3.894;2497
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;W2;1.938;-1.915;0.023;3619
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F7;1.552;4.864;6.416;1105
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N6;1.504;5.989;7.493;771
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N5;1.497;5.602;7.099;404
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N8;1.463;6.294;7.757;1301
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N7;1.456;5.736;7.191;590
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F0;1.672;3.117;4.79;3972
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F2;1.596;3.882;5.478;1712
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F1;1.663;3.235;4.898;4595
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F4;1.589;4.051;5.64;9621
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F3;1.645;3.422;5.067;10836
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N0;1.263;6.667;7.929;1075
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N2;1.381;6.411;7.793;619
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N1;1.348;6.303;7.651;753
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N4;1.528;5.511;7.039;1216
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N3;1.434;5.888;7.321;1973
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V6;1.855;4.174;6.029;2137
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V5;1.827;4.055;5.882;5731
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V7;1.683;6.167;7.85;3702
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E5;1.553;4.176;5.73;3202
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V0;1.981;-0.656;1.325;3445
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E4;1.517;4.702;6.219;2241
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V2;2.029;0.975;3.004;3760
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E6;1.619;3.918;5.537;6568
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V1;2.066;1.3;3.366;5949
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V4;1.901;2.894;4.796;4936
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V3;1.814;2.92;4.734;5191
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M5;1.448;5.5;6.948;1856
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M4;1.459;5.632;7.09;233
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M7;1.446;5.475;6.921;2356
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M6;1.389;5.707;7.096;2540
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M8;1.298;6.204;7.502;2581
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E1;1.625;3.706;5.331;2658
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E3;1.593;4.239;5.832;2825
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q1;1.778;6.253;8.032;1586
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E2;1.616;4.048;5.664;1210
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q0;1.735;4.98;6.715;2461
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q3;1.756;6.719;8.475;2194
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q2;1.833;5.955;7.788;3146
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q5;1.696;6.535;8.231;1425
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q4;1.729;0.69;2.419;1368
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q7;1.719;6.089;7.809;1534
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Y9;1.621;6.819;8.44;2858
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q6;1.785;2.036;3.821;1089
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Y8;1.493;6.589;8.082;2698
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Y1;1.71;5.567;7.277;5327
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Y0;1.772;5.273;7.045;5199
