GCM-RCM;ZH;deltaDegre;ref;fut;surface
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M1;2.914;4.469;7.382;8294
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M0;2.855;4.69;7.545;7963
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M3;2.787;4.918;7.705;5838
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M2;2.821;5.744;8.565;21
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U4;3.127;3.108;6.235;4014
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U1;3.059;2.482;5.541;5793
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U0;3.099;2.249;5.348;6186
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U3;2.954;3.028;5.982;5720
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U2;3.244;1.533;4.777;7728
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L4;2.996;4.081;7.077;3885
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L3;2.959;5.129;8.089;818
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L6;2.913;4.94;7.852;1772
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L5;2.955;4.671;7.627;3913
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L8;2.91;5.216;8.125;3667
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L7;2.903;5.153;8.056;1312
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;D0;2.931;3.16;6.092;1133
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L9;2.849;5.37;8.219;1484
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L0;3.041;4.052;7.092;4402
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L2;2.989;4.989;7.978;3218
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L1;2.947;5.006;7.953;1841
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K3;3.111;3.101;6.212;5605
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K2;3.507;1.601;5.108;8745
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K5;2.98;3.779;6.759;6822
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K4;2.988;4.206;7.195;10008
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K7;2.914;4.65;7.563;3446
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K6;2.966;4.32;7.286;7121
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O1;3.222;3.77;6.992;4132
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O0;3.262;2.772;6.035;5818
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O3;3.143;3.296;6.439;5301
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O2;3.065;5.663;8.728;5193
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O5;3.112;4.381;7.493;5961
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O4;3.104;4.753;7.857;4491
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F6;2.925;3.648;6.573;7321
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;W1;3.251;-2.332;0.919;3064
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F5;2.992;2.677;5.669;5515
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;W0;3.259;-2.956;0.303;2711
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;W3;3.334;1.936;5.27;2497
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;W2;3.447;-1.915;1.533;3619
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F7;2.889;4.864;7.753;1105
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N6;2.826;5.989;8.815;771
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N5;2.859;5.602;8.461;404
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N8;2.789;6.294;9.083;1301
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N7;2.801;5.736;8.537;590
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F0;3.007;3.117;6.124;3972
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F2;2.876;3.882;6.758;1712
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F1;2.968;3.235;6.202;4595
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F4;2.94;4.051;6.991;9621
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F3;2.985;3.422;6.407;10836
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N0;2.612;6.667;9.279;1075
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N2;2.712;6.411;9.124;619
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N1;2.675;6.303;8.978;753
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N4;2.902;5.511;8.413;1216
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N3;2.787;5.888;8.674;1973
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V6;3.177;4.174;7.351;2137
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V5;3.136;4.055;7.191;5731
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V7;2.933;6.167;9.099;3702
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E5;2.879;4.176;7.055;3202
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V0;3.517;-0.656;2.862;3445
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E4;2.803;4.702;7.505;2241
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V2;3.451;0.975;4.427;3760
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E6;2.965;3.918;6.883;6568
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V1;3.424;1.3;4.724;5949
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V4;3.258;2.894;6.152;4936
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V3;3.102;2.92;6.022;5191
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M5;2.79;5.5;8.29;1856
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M4;2.802;5.632;8.433;233
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M7;2.811;5.475;8.286;2356
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M6;2.754;5.707;8.461;2540
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M8;2.681;6.204;8.884;2581
