ZH,Variable,Saison,NivRechauf,GCM,RCM,delta,surface
M1,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.113937225232048,8294.27
M0,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.117873986668387,7963.25
M3,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.118087793705659,5837.92
M2,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.123973065216008,20.6
U4,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.220573036028126,4014.05
U1,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.195780136096085,5793
U0,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.209996453477778,6186.06
U3,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.216563223528377,5720.16
U2,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.182822036479489,7728.47
L4,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.117910669767691,3884.86
L3,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.147127965112202,818.31
L6,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.124626436091631,1772
L5,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.124124508566331,3912.9
L8,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.148384901055829,3666.97
L7,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.140491911389402,1311.67
D0,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.162800209417667,1133.29
L9,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.143376402853864,1483.68
L0,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.129905098262779,4402.03
L2,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.158626241122877,3217.75
L1,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.139211790644006,1840.6
K3,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.124605838544839,5604.72
K2,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.0662985636722239,8744.54
K5,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.127136860894181,6822.06
K4,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.115376960287545,10007.58
K7,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.111823330619468,3446.26
