"GWL","EXP","GCM","RCM","BC","SH","deltaRR_DJF","deltaRR_JJA","deltaTMm_DJF","deltaTMm_JJA"
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","M1",11.5,0.3,1.53,1.694
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","M0",11.7,5.8,1.497,1.66
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","M3",11.6,-6.6,1.428,1.649
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","M2",12.4,-16.9,1.463,1.724
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","U4",22.1,-1.4,1.829,1.79
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","U1",19.5,1.4,1.772,1.73
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","U0",21,0,1.803,1.762
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","U3",21.8,-1.3,1.722,1.719
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","U2",17.8,4.2,1.893,1.741
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","L4",11.7,-9.2,1.623,1.729
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","L3",14.8,-9,1.556,1.687
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","L6",12.5,-6,1.529,1.666
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","L5",12.4,-3.1,1.596,1.65
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","L8",14.8,-9.7,1.52,1.723
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","L7",14,-10.2,1.514,1.678
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","D0",16.3,12.3,1.613,1.656
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","L9",14.4,-11.4,1.493,1.704
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","L0",13,-7.8,1.676,1.648
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","L2",15.9,-1.4,1.592,1.659
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","L1",13.9,2.7,1.589,1.627
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","K3",12,-5,1.735,1.776
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","K2",7.1,3.1,2.029,1.739
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","K5",12.6,-8.8,1.609,1.818
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","K4",11.6,-7.2,1.589,1.795
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","K7",11.2,-9.8,1.527,1.696
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","K6",11.1,-9.6,1.564,1.759
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","O1",0,-3.4,1.768,1.693
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","O0",3.6,-5.8,1.769,1.733
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","O3",7.3,-4,1.761,1.836
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","O2",5.8,-12.7,1.768,1.661
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","O5",2.4,-4.5,1.739,1.744
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","O4",1.7,-6.5,1.723,1.699
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","F6",14.2,3.6,1.617,1.666
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","W1",10.4,5.5,1.86,2.084
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","F5",13.5,-0.3,1.676,1.781
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","W0",2.2,8,1.841,2.105
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","W3",24.6,1.6,1.959,1.814
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","W2",12.9,2.4,1.938,2.042
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","F7",12.1,1.4,1.552,1.675
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","N6",15.7,-10.8,1.504,1.577
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","N5",15.3,-9.7,1.497,1.587
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","N8",16.4,-14.7,1.463,1.56
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","N7",14.6,-12.9,1.456,1.59
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","F0",12.5,4.4,1.672,1.753
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","F2",8.9,1.7,1.596,1.729
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","F1",12.3,2.9,1.663,1.719
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","F4",10,-2,1.589,1.786
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","F3",11.8,2,1.645,1.81
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","N0",12.5,-18,1.263,1.566
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","N2",15.1,-16.2,1.381,1.603
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","N1",13.8,-16.7,1.348,1.626
"GWL-20","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","N4",16.2,-5.1,1.528,1.605
