"GWL","EXP","GCM","RCM","BC","HM","SH","deltaRecharge"
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","A0",28.891198789798
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","A0",30.6842370935371
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","A0",5.35093028442952
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","A0",16.3619913396902
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","A0",14.8299660186415
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","A0",-0.088317926056225
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","A0",3.105616813398
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","A0",1.78812315358539
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","A0",7.52028556206081
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","A0",7.88939345264679
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","A0",2.06502624163918
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","A0",23.0935694205569
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","A0",17.7801054161849
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","A0",30.8783978963896
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","A0",-4.72722428599164
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","A0",-0.218801979564542
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","A0",1.40767426336579
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","A1",17.0666560760003
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","A1",19.0647408387873
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","A1",2.94699778421712
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","A1",13.2966171596744
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","A1",8.57352734893107
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","A1",0.533342731257669
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","A1",2.66479929893824
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","A1",0.192664343819304
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","A1",5.06135672264936
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","A1",0.415442737064353
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","A1",0.207871356025402
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","A1",15.2609319873009
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","A1",12.2196025568112
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","A1",24.1304568631204
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","A1",-7.0357408575086
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","A1",1.84456484552271
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","A1",-1.63609553773139
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","A2",19.8140177189885
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","A2",15.329648670991
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","A2",3.77433881264562
